Vocabulary Size:  27710
Total number of model parameters: 25.41M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 10.35 | loss  9.81 | ppl 18159.11
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  8.83 | loss  8.44 | ppl  4616.26
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  8.78 | loss  8.20 | ppl  3643.28
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  8.17 | ppl  3534.41
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  8.70 | loss  8.84 | ppl  6890.29
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  8.68 | loss  8.26 | ppl  3847.96
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  8.72 | loss  8.04 | ppl  3101.68
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  8.72 | loss  7.99 | ppl  2962.44
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  8.71 | loss  7.81 | ppl  2454.53
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  8.68 | loss  7.79 | ppl  2421.43
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  8.66 | loss  7.94 | ppl  2797.26
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  8.14 | ppl  3426.73
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  8.88 | loss  8.09 | ppl  3273.34
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  8.77 | loss  8.04 | ppl  3113.19
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  8.81 | loss  8.12 | ppl  3352.70
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  8.41 | ppl  4480.51
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  8.67 | loss  7.65 | ppl  2100.07
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  8.69 | loss  7.33 | ppl  1519.14
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  8.73 | loss  7.36 | ppl  1574.38
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  8.66 | loss  7.35 | ppl  1563.45
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  8.73 | loss  7.30 | ppl  1476.03
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  8.70 | loss  7.29 | ppl  1464.61
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  8.75 | loss  7.35 | ppl  1553.76
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  8.79 | loss  7.24 | ppl  1391.27
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  8.69 | loss  7.30 | ppl  1473.20
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  7.29 | ppl  1462.10
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  8.68 | loss  7.29 | ppl  1464.90
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  8.67 | loss  7.31 | ppl  1493.10
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  8.68 | loss  7.24 | ppl  1396.35
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  7.28 | ppl  1444.01
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  8.75 | loss  7.28 | ppl  1455.00
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 141.26s | valid loss  8.20 | valid ppl  3624.95
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  8.74 | loss  7.33 | ppl  1531.45
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  7.38 | ppl  1608.81
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  8.82 | loss  7.34 | ppl  1543.38
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  8.69 | loss  7.31 | ppl  1488.46
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  9.14 | loss  7.23 | ppl  1385.52
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  8.69 | loss  7.29 | ppl  1469.55
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  8.78 | loss  7.35 | ppl  1563.83
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  8.77 | loss  7.33 | ppl  1519.80
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  8.71 | loss  7.33 | ppl  1521.95
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  8.73 | loss  7.38 | ppl  1606.19
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  8.72 | loss  7.33 | ppl  1520.16
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  8.75 | loss  7.34 | ppl  1533.28
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  8.72 | loss  7.27 | ppl  1430.01
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  8.78 | loss  7.34 | ppl  1544.03
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  8.71 | loss  7.34 | ppl  1534.06
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  8.65 | loss  7.37 | ppl  1593.04
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  8.66 | loss  7.29 | ppl  1463.06
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  8.76 | loss  7.28 | ppl  1452.63
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  8.69 | loss  7.28 | ppl  1456.73
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  8.69 | loss  7.29 | ppl  1460.59
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  8.65 | loss  7.28 | ppl  1453.00
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  8.70 | loss  7.27 | ppl  1432.72
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  8.72 | loss  7.27 | ppl  1437.35
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  8.90 | loss  7.25 | ppl  1407.04
