Vocabulary Size:  27710
Total number of model parameters: 5.81M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.31 | loss  9.00 | ppl  8096.65
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.21 | loss  8.45 | ppl  4681.08
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.21 | loss  8.35 | ppl  4222.24
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  8.25 | ppl  3832.47
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.55 | loss  8.31 | ppl  4081.80
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.61 | loss  8.15 | ppl  3451.69
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.15 | loss  7.97 | ppl  2885.01
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.12 | loss  7.75 | ppl  2322.99
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.16 | loss  8.14 | ppl  3420.61
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.16 | loss  8.07 | ppl  3208.91
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.76 | ppl  2346.25
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.62 | ppl  2034.48
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.15 | loss  7.50 | ppl  1813.18
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.42 | ppl  1663.06
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.16 | loss  7.46 | ppl  1731.66
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  7.46 | ppl  1731.54
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.44 | ppl  1709.06
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.37 | ppl  1583.07
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.12 | loss  7.33 | ppl  1524.60
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.16 | loss  7.35 | ppl  1553.98
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.30 | ppl  1485.71
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  7.36 | ppl  1575.27
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.39 | ppl  1624.83
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.28 | ppl  1455.03
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.10 | loss  7.27 | ppl  1440.78
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.38 | ppl  1605.23
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.15 | loss  7.35 | ppl  1557.76
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.06 | loss  7.36 | ppl  1573.24
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.25 | ppl  1413.83
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.20 | loss  7.38 | ppl  1602.40
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.29 | ppl  1470.01
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 68.30s | valid loss  6.85 | valid ppl   942.45
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.20 | loss  7.39 | ppl  1621.28
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.43 | ppl  1686.94
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.39 | ppl  1620.23
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.46 | ppl  1735.07
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  4.20 | loss  7.30 | ppl  1483.41
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  4.18 | loss  7.39 | ppl  1617.91
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  4.23 | loss  7.29 | ppl  1459.15
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.31 | ppl  1488.83
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  4.10 | loss  7.40 | ppl  1637.64
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  4.15 | loss  7.39 | ppl  1623.85
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  4.08 | loss  7.37 | ppl  1594.35
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  4.17 | loss  7.36 | ppl  1566.67
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  4.17 | loss  7.30 | ppl  1480.76
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  4.20 | loss  7.39 | ppl  1615.16
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.37 | ppl  1586.53
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.46 | ppl  1740.42
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.33 | ppl  1527.02
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.35 | ppl  1550.72
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  4.18 | loss  7.29 | ppl  1461.64
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  4.18 | loss  7.31 | ppl  1490.65
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  4.16 | loss  7.29 | ppl  1465.86
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  4.18 | loss  7.37 | ppl  1588.90
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  4.17 | loss  7.32 | ppl  1505.78
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  4.14 | loss  7.24 | ppl  1396.10
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.30 | ppl  1475.01
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.29 | ppl  1469.40
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  4.09 | loss  7.27 | ppl  1430.47
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  4.11 | loss  7.28 | ppl  1445.11
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  4.10 | loss  7.26 | ppl  1425.76
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  4.13 | loss  7.28 | ppl  1448.52
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  4.10 | loss  7.28 | ppl  1451.41
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 66.89s | valid loss  6.92 | valid ppl  1016.31
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  4.14 | loss  6.58 | ppl   721.11
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  4.17 | loss  6.59 | ppl   728.72
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  4.15 | loss  6.63 | ppl   754.60
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  4.15 | loss  6.55 | ppl   696.47
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  4.13 | loss  6.48 | ppl   655.20
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  4.14 | loss  6.57 | ppl   710.62
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch  4.13 | loss  6.58 | ppl   721.87
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch  4.15 | loss  6.62 | ppl   747.46
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch  4.10 | loss  6.63 | ppl   755.98
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch  4.14 | loss  6.63 | ppl   759.52
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch  4.29 | loss  6.60 | ppl   736.22
| epoch   3 |  6000/15983 batches | lr 5.00 | ms/batch  4.08 | loss  6.61 | ppl   740.93
| epoch   3 |  6500/15983 batches | lr 5.00 | ms/batch  4.12 | loss  6.56 | ppl   708.52
| epoch   3 |  7000/15983 batches | lr 5.00 | ms/batch  4.11 | loss  6.59 | ppl   725.97
| epoch   3 |  7500/15983 batches | lr 5.00 | ms/batch  4.12 | loss  6.57 | ppl   710.11
| epoch   3 |  8000/15983 batches | lr 5.00 | ms/batch  4.16 | loss  6.61 | ppl   745.88
| epoch   3 |  8500/15983 batches | lr 5.00 | ms/batch  4.27 | loss  6.56 | ppl   708.49
| epoch   3 |  9000/15983 batches | lr 5.00 | ms/batch  4.43 | loss  6.53 | ppl   683.65
| epoch   3 |  9500/15983 batches | lr 5.00 | ms/batch  4.21 | loss  6.55 | ppl   698.90
| epoch   3 | 10000/15983 batches | lr 5.00 | ms/batch  4.15 | loss  6.57 | ppl   710.56
| epoch   3 | 10500/15983 batches | lr 5.00 | ms/batch  4.17 | loss  6.58 | ppl   717.84
| epoch   3 | 11000/15983 batches | lr 5.00 | ms/batch  4.10 | loss  6.56 | ppl   705.55
| epoch   3 | 11500/15983 batches | lr 5.00 | ms/batch  4.06 | loss  6.56 | ppl   705.32
| epoch   3 | 12000/15983 batches | lr 5.00 | ms/batch  4.08 | loss  6.53 | ppl   684.24
| epoch   3 | 12500/15983 batches | lr 5.00 | ms/batch  4.15 | loss  6.50 | ppl   667.25
| epoch   3 | 13000/15983 batches | lr 5.00 | ms/batch  4.15 | loss  6.54 | ppl   691.05
| epoch   3 | 13500/15983 batches | lr 5.00 | ms/batch  4.45 | loss  6.56 | ppl   709.43
| epoch   3 | 14000/15983 batches | lr 5.00 | ms/batch  4.59 | loss  6.58 | ppl   723.70
| epoch   3 | 14500/15983 batches | lr 5.00 | ms/batch  4.49 | loss  6.49 | ppl   661.38
| epoch   3 | 15000/15983 batches | lr 5.00 | ms/batch  4.65 | loss  6.48 | ppl   652.16
| epoch   3 | 15500/15983 batches | lr 5.00 | ms/batch  4.47 | loss  6.51 | ppl   673.39
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 67.99s | valid loss  6.60 | valid ppl   736.55
