Vocabulary Size:  27710
Total number of model parameters: 11.52M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.15 | loss  9.31 | ppl 11000.54
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.52 | loss  8.52 | ppl  5025.97
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  8.36 | ppl  4256.83
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  8.26 | ppl  3858.39
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.48 | loss  8.17 | ppl  3536.33
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  8.02 | ppl  3053.54
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.54 | loss  7.99 | ppl  2940.74
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.74 | ppl  2302.48
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  7.83 | ppl  2509.77
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.83 | ppl  2514.20
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.53 | loss  7.77 | ppl  2368.45
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.57 | ppl  1933.35
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.51 | loss  7.51 | ppl  1823.77
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.52 | loss  7.48 | ppl  1767.51
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.47 | loss  7.39 | ppl  1626.09
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.53 | loss  7.38 | ppl  1601.58
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.52 | loss  7.37 | ppl  1590.83
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.34 | ppl  1539.44
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.31 | ppl  1501.28
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.51 | loss  7.29 | ppl  1469.67
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.58 | loss  7.35 | ppl  1557.02
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.53 | loss  7.36 | ppl  1571.70
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.51 | loss  7.27 | ppl  1435.64
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.50 | loss  7.24 | ppl  1399.03
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.30 | ppl  1481.20
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.54 | loss  7.38 | ppl  1610.41
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  7.29 | ppl  1465.64
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.52 | loss  7.33 | ppl  1520.42
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  7.24 | ppl  1396.82
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.49 | loss  7.33 | ppl  1520.95
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.52 | loss  7.27 | ppl  1438.84
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 73.45s | valid loss  6.81 | valid ppl   906.57
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.54 | loss  7.39 | ppl  1614.94
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  4.51 | loss  7.39 | ppl  1624.36
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  4.54 | loss  7.38 | ppl  1604.42
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  4.51 | loss  7.37 | ppl  1595.44
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  4.52 | loss  7.24 | ppl  1393.68
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  4.54 | loss  7.27 | ppl  1433.82
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  4.59 | loss  7.32 | ppl  1517.04
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  4.55 | loss  7.37 | ppl  1593.65
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  4.54 | loss  7.33 | ppl  1524.13
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  4.55 | loss  7.40 | ppl  1634.17
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  4.57 | loss  7.34 | ppl  1537.38
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  4.51 | loss  7.37 | ppl  1591.61
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  7.32 | ppl  1506.66
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  4.53 | loss  7.33 | ppl  1519.25
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  4.50 | loss  7.38 | ppl  1600.23
