Vocabulary Size:  27710
Total number of model parameters: 12.08M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.23 | loss  7.07 | ppl  1175.97
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.71 | loss  6.36 | ppl   579.36
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.71 | loss  6.02 | ppl   412.29
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.79 | ppl   325.64
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  5.64 | ppl   282.61
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.70 | loss  5.63 | ppl   278.33
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  5.58 | ppl   265.16
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.54 | ppl   255.76
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.74 | loss  5.50 | ppl   244.70
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.46 | ppl   235.75
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.40 | ppl   221.37
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.40 | ppl   220.81
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.71 | loss  5.34 | ppl   208.54
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.71 | loss  5.34 | ppl   209.14
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.29 | ppl   198.17
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.36 | ppl   211.68
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.74 | loss  5.27 | ppl   194.74
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.22 | ppl   184.18
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.21 | ppl   183.69
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.20 | ppl   180.58
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.70 | loss  5.23 | ppl   187.05
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.72 | loss  5.23 | ppl   186.07
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.71 | loss  5.19 | ppl   179.61
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.75 | loss  5.17 | ppl   176.42
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.13 | ppl   168.38
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.15 | ppl   172.09
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  5.17 | ppl   175.98
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.71 | loss  5.18 | ppl   178.21
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.70 | loss  5.10 | ppl   164.20
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.09 | ppl   162.29
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.71 | loss  5.10 | ppl   163.89
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 76.27s | valid loss  5.25 | valid ppl   190.72
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.81 | loss  5.14 | ppl   170.40
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  4.91 | loss  5.14 | ppl   170.30
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  4.91 | loss  5.15 | ppl   172.95
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  4.89 | loss  5.07 | ppl   159.12
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.04 | ppl   154.11
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  4.77 | loss  5.08 | ppl   161.19
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.10 | ppl   163.27
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  5.09 | ppl   162.29
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  4.95 | loss  5.09 | ppl   162.14
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  4.94 | loss  5.09 | ppl   162.45
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  4.94 | loss  5.07 | ppl   158.83
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  4.92 | loss  5.09 | ppl   161.72
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  4.93 | loss  5.04 | ppl   154.38
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  4.78 | loss  5.06 | ppl   157.19
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  4.78 | loss  5.02 | ppl   152.03
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  4.79 | loss  5.10 | ppl   163.21
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  4.89 | loss  5.03 | ppl   153.23
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  4.91 | loss  4.99 | ppl   146.79
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  4.96 | loss  5.00 | ppl   148.50
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  4.92 | loss  4.99 | ppl   146.83
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  4.92 | loss  5.03 | ppl   153.28
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  4.78 | loss  5.04 | ppl   153.97
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  4.74 | loss  5.00 | ppl   148.91
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  4.76 | loss  5.00 | ppl   148.37
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  4.96 | ppl   142.25
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  4.98 | ppl   145.81
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  4.80 | loss  5.01 | ppl   149.68
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  4.74 | loss  5.02 | ppl   151.73
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  4.96 | ppl   142.33
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  4.74 | loss  4.95 | ppl   140.94
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  4.75 | loss  4.95 | ppl   141.81
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 77.64s | valid loss  5.14 | valid ppl   170.46
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  4.79 | loss  5.00 | ppl   147.93
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  4.76 | loss  5.00 | ppl   148.96
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  4.85 | loss  5.02 | ppl   150.93
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  4.89 | loss  4.95 | ppl   140.98
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  4.79 | loss  4.93 | ppl   137.96
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  4.87 | loss  4.97 | ppl   144.00
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  4.93 | loss  4.98 | ppl   145.84
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  4.88 | loss  4.98 | ppl   145.25
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  4.86 | loss  4.98 | ppl   145.64
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  4.77 | loss  4.98 | ppl   146.03
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  4.78 | loss  4.97 | ppl   144.04
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  4.75 | loss  4.99 | ppl   146.76
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  4.79 | loss  4.95 | ppl   140.97
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  4.73 | loss  4.97 | ppl   143.52
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  4.70 | loss  4.94 | ppl   139.13
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  4.70 | loss  5.00 | ppl   148.99
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  4.95 | ppl   141.00
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  4.77 | loss  4.91 | ppl   135.27
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  4.92 | ppl   137.61
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  4.74 | loss  4.91 | ppl   135.57
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch  4.71 | loss  4.95 | ppl   141.39
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch  4.72 | loss  4.96 | ppl   142.78
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch  4.74 | loss  4.93 | ppl   138.13
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch  4.72 | loss  4.93 | ppl   137.89
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  4.89 | ppl   132.93
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch  4.74 | loss  4.91 | ppl   135.57
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  4.93 | ppl   139.03
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch  4.76 | loss  4.95 | ppl   141.09
