Vocabulary Size:  27710
Total number of model parameters: 11.41M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.48 | loss 20.68 | ppl 958708272.91
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 18.54 | ppl 112688298.90
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.88 | loss 19.19 | ppl 215421112.12
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 19.35 | ppl 253341157.56
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 19.01 | ppl 180549311.79
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 19.83 | ppl 408336024.42
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.88 | loss 18.91 | ppl 163527945.38
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 19.38 | ppl 261418107.51
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.87 | loss 19.12 | ppl 201103781.25
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 19.59 | ppl 322962916.56
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.88 | loss 19.42 | ppl 270739345.01
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 18.77 | ppl 141643950.77
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.90 | loss 18.90 | ppl 161387046.49
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 17.99 | ppl 65021542.53
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.91 | loss 16.62 | ppl 16500087.56
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 16.31 | ppl 12073571.49
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.92 | loss 16.11 | ppl 9904668.54
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 15.50 | ppl 5374978.54
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.04 | ppl 1252301.34
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 13.90 | ppl 1088243.90
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.06 | ppl 1277842.91
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.20 | ppl 1471792.88
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.88 | loss 14.03 | ppl 1243537.46
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.90 | loss 14.06 | ppl 1283244.25
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.11 | ppl 1348158.10
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.91 | loss 14.21 | ppl 1482566.75
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.04 | ppl 1251155.07
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 14.00 | ppl 1207455.46
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.90 | loss 14.09 | ppl 1313176.40
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.92 | loss 14.10 | ppl 1330844.23
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.01 | ppl 1213114.11
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 78.99s | valid loss 12.20 | valid ppl 199559.39
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  4.91 | loss 14.07 | ppl 1293721.82
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 14.17 | ppl 1420053.31
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  4.90 | loss 13.92 | ppl 1111978.34
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  4.88 | loss 14.26 | ppl 1562776.10
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  4.95 | loss 14.07 | ppl 1284215.47
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  4.90 | loss 14.22 | ppl 1497030.25
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  4.91 | loss 14.26 | ppl 1562547.60
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.01 | loss 14.12 | ppl 1358776.16
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  4.93 | loss 14.16 | ppl 1408394.39
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.18 | ppl 1436271.95
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 14.02 | ppl 1232714.87
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  4.98 | loss 14.13 | ppl 1363123.73
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  4.89 | loss 14.05 | ppl 1259475.33
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  4.91 | loss 14.21 | ppl 1488867.47
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  4.88 | loss 14.10 | ppl 1333692.49
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  4.91 | loss 14.29 | ppl 1609196.74
