Vocabulary Size:  27710
Total number of model parameters: 21.83M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  7.20 | loss  6.84 | ppl   938.46
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  6.05 | ppl   423.35
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.79 | ppl   328.06
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.58 | ppl   266.28
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.30 | loss  5.46 | ppl   235.11
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.29 | loss  5.45 | ppl   232.56
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.41 | ppl   223.01
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.30 | loss  5.38 | ppl   215.96
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.30 | loss  5.33 | ppl   207.21
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.32 | loss  5.30 | ppl   200.72
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.29 | loss  5.25 | ppl   190.37
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.24 | ppl   189.59
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.19 | ppl   178.79
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.35 | loss  5.19 | ppl   178.98
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.38 | loss  5.13 | ppl   169.76
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.30 | loss  5.20 | ppl   180.78
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.32 | loss  5.12 | ppl   167.17
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.36 | loss  5.06 | ppl   158.02
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.31 | loss  5.06 | ppl   157.91
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.34 | loss  5.04 | ppl   154.06
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.39 | loss  5.08 | ppl   159.99
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.33 | loss  5.07 | ppl   159.89
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.36 | loss  5.03 | ppl   153.59
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.35 | loss  5.02 | ppl   151.58
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.35 | loss  4.97 | ppl   144.74
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.33 | loss  4.99 | ppl   147.43
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.31 | loss  5.01 | ppl   150.37
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.29 | loss  5.02 | ppl   151.64
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.31 | loss  4.95 | ppl   141.02
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.37 | loss  4.94 | ppl   139.21
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  4.94 | ppl   140.06
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 101.97s | valid loss  5.13 | valid ppl   168.33
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  4.98 | ppl   145.12
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  4.97 | ppl   144.47
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  4.97 | ppl   144.67
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  6.27 | loss  4.90 | ppl   134.12
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  4.88 | ppl   130.98
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  6.27 | loss  4.92 | ppl   136.38
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  4.92 | ppl   137.66
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  6.29 | loss  4.91 | ppl   135.88
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  4.91 | ppl   135.81
