Vocabulary Size:  27710
Total number of model parameters: 15.97M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.61 | loss  6.88 | ppl   976.37
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.16 | loss  6.06 | ppl   430.33
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.15 | loss  5.84 | ppl   343.68
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.15 | loss  5.62 | ppl   276.81
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.49 | ppl   243.27
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.48 | ppl   240.33
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.11 | loss  5.44 | ppl   229.57
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.40 | ppl   222.35
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.36 | ppl   212.96
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.33 | ppl   206.45
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.27 | ppl   195.24
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.11 | loss  5.27 | ppl   194.59
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.21 | ppl   183.56
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.11 | loss  5.21 | ppl   183.97
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.16 | ppl   174.69
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.11 | loss  5.23 | ppl   186.13
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.10 | loss  5.15 | ppl   171.61
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.09 | ppl   162.06
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.15 | loss  5.09 | ppl   162.10
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.06 | ppl   158.19
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.10 | ppl   164.78
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.19 | loss  5.10 | ppl   164.16
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.06 | ppl   158.01
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.05 | ppl   155.72
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.00 | ppl   148.39
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  6.10 | loss  5.02 | ppl   151.43
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  6.12 | loss  5.04 | ppl   154.62
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  5.05 | ppl   156.17
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  4.97 | ppl   144.63
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  6.13 | loss  4.96 | ppl   142.85
