Vocabulary Size:  27710
Total number of model parameters: 19.82M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.70 | loss 22.06 | ppl 3814784807.24
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.11 | loss 23.18 | ppl 11668240796.82
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.07 | loss 21.66 | ppl 2559313150.45
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.67 | ppl 7023962357.91
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.70 | ppl 7201150455.33
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.21 | ppl 4429830891.76
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.53 | ppl 6098754405.09
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.21 | ppl 4409965485.54
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.22 | ppl 4451909336.85
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.67 | ppl 7017079037.66
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.15 | ppl 4154049496.73
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.12 | loss 22.39 | ppl 5314529842.80
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.56 | ppl 6256067184.05
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.02 | loss 22.83 | ppl 8231604561.37
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.89 | ppl 8689235831.32
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.03 | loss 23.10 | ppl 10745506988.30
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.14 | ppl 4106748465.36
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.18 | ppl 4293449086.71
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.18 | ppl 4280861113.55
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.21 | ppl 4407912544.76
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.38 | ppl 5237145948.21
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.80 | ppl 7939360686.18
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.03 | loss 23.01 | ppl 9824292064.55
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.75 | ppl 7597482105.45
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.07 | loss 22.13 | ppl 4064179313.89
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.53 | ppl 6080327995.81
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.22 | ppl 4445216587.95
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.73 | ppl 7407344976.76
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 21.92 | ppl 3322687776.51
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.64 | ppl 6795305407.38
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.54 | ppl 6176782543.22
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 81.57s | valid loss 18.19 | valid ppl 79695284.99
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.91 | ppl 8923643338.61
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.86 | ppl 8441024077.67
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.15 | ppl 4164642889.31
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.73 | ppl 7438250300.99
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.94 | ppl 9199246986.32
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.44 | ppl 5574040692.75
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.11 | ppl 4017142937.46
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 21.91 | ppl 3286146722.47
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.44 | ppl 5548572837.90
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.66 | ppl 6947011142.07
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.02 | ppl 3655291242.69
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.07 | loss 21.86 | ppl 3106933605.19
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.37 | ppl 5206947657.87
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.48 | ppl 5821403109.28
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.88 | ppl 8681844802.87
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.85 | ppl 8400807634.60
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.47 | ppl 5711581100.60
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.62 | ppl 6652737734.32
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.46 | ppl 5700328318.75
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.57 | ppl 6322226096.32
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.02 | ppl 3656612164.15
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.80 | ppl 7995435520.10
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.06 | loss 22.79 | ppl 7891965198.04
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.05 | loss 22.59 | ppl 6439496398.92
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  5.05 | loss 23.08 | ppl 10599904053.19
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  5.07 | loss 22.83 | ppl 8254974924.95
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.26 | ppl 4672256773.30
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.37 | ppl 5207761376.53
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.55 | ppl 6237221488.15
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  5.03 | loss 22.36 | ppl 5145486881.56
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  5.04 | loss 22.06 | ppl 3801009549.70
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 81.21s | valid loss 20.56 | valid ppl 850237566.32
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 5.00 | ms/batch  5.06 | loss  9.38 | ppl 11803.53
| epoch   3 |  1000/15983 batches | lr 5.00 | ms/batch  5.04 | loss  9.20 | ppl  9935.71
| epoch   3 |  1500/15983 batches | lr 5.00 | ms/batch  5.04 | loss  9.12 | ppl  9177.65
| epoch   3 |  2000/15983 batches | lr 5.00 | ms/batch  5.04 | loss  9.12 | ppl  9166.82
| epoch   3 |  2500/15983 batches | lr 5.00 | ms/batch  5.03 | loss  8.97 | ppl  7891.36
| epoch   3 |  3000/15983 batches | lr 5.00 | ms/batch  5.05 | loss  8.97 | ppl  7891.65
| epoch   3 |  3500/15983 batches | lr 5.00 | ms/batch  5.03 | loss  8.93 | ppl  7572.90
| epoch   3 |  4000/15983 batches | lr 5.00 | ms/batch  5.03 | loss  9.03 | ppl  8349.20
| epoch   3 |  4500/15983 batches | lr 5.00 | ms/batch  5.03 | loss  9.03 | ppl  8333.76
| epoch   3 |  5000/15983 batches | lr 5.00 | ms/batch  5.08 | loss  9.33 | ppl 11234.21
| epoch   3 |  5500/15983 batches | lr 5.00 | ms/batch  5.04 | loss  9.09 | ppl  8895.13
