Vocabulary Size:  27710
Total number of model parameters: 5.89M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 10.53 | loss  9.23 | ppl 10245.04
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  7.86 | loss  8.48 | ppl  4822.12
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  7.82 | loss  8.28 | ppl  3963.23
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  7.53 | loss  8.29 | ppl  3976.29
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  7.56 | loss  8.24 | ppl  3807.31
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  7.61 | loss  7.87 | ppl  2628.05
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  7.87 | loss  7.60 | ppl  1995.60
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  7.82 | loss  7.56 | ppl  1917.34
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  8.25 | loss  7.49 | ppl  1791.90
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  8.19 | loss  7.52 | ppl  1850.68
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  7.95 | loss  7.36 | ppl  1570.92
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  7.95 | loss  7.40 | ppl  1639.82
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  7.59 | loss  7.31 | ppl  1498.06
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  7.59 | loss  7.39 | ppl  1619.15
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  7.53 | loss  7.35 | ppl  1555.89
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.43 | ppl  1692.29
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  7.55 | loss  7.38 | ppl  1608.91
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  7.51 | loss  7.32 | ppl  1506.72
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  7.85 | loss  7.38 | ppl  1596.52
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  7.46 | loss  7.32 | ppl  1513.98
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  7.62 | loss  7.35 | ppl  1563.81
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  8.34 | loss  7.31 | ppl  1499.16
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.38 | ppl  1610.53
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.26 | ppl  1428.64
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.26 | ppl  1416.26
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.31 | ppl  1501.79
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.28 | ppl  1446.19
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  7.48 | loss  7.33 | ppl  1520.65
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  7.47 | loss  7.17 | ppl  1305.78
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  7.47 | loss  7.23 | ppl  1383.36
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.33 | ppl  1523.82
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 125.24s | valid loss  6.93 | valid ppl  1017.99
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  7.67 | loss  7.39 | ppl  1616.90
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.34 | ppl  1540.59
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.39 | ppl  1622.60
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  7.68 | loss  7.38 | ppl  1608.96
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  7.59 | loss  7.26 | ppl  1423.28
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  7.56 | loss  7.34 | ppl  1535.68
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  7.56 | loss  7.37 | ppl  1591.93
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  7.56 | loss  7.38 | ppl  1608.04
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  7.49 | loss  7.38 | ppl  1599.04
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  7.40 | loss  7.46 | ppl  1728.71
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  7.50 | loss  7.33 | ppl  1531.57
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  7.66 | loss  7.38 | ppl  1611.13
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  7.42 | loss  7.37 | ppl  1591.66
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  7.54 | loss  7.42 | ppl  1662.06
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  8.28 | loss  7.38 | ppl  1604.59
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  7.71 | loss  7.38 | ppl  1601.27
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  7.64 | loss  7.37 | ppl  1579.76
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  8.02 | loss  7.37 | ppl  1582.20
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  8.19 | loss  7.36 | ppl  1573.05
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  8.06 | loss  7.22 | ppl  1369.04
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.29 | ppl  1470.56
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  8.37 | loss  7.25 | ppl  1407.09
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  8.30 | loss  7.32 | ppl  1510.87
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  7.60 | loss  7.34 | ppl  1540.55
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  7.51 | loss  7.28 | ppl  1447.17
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.44 | loss  7.37 | ppl  1594.52
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  7.80 | loss  7.32 | ppl  1505.78
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  8.28 | loss  7.35 | ppl  1558.56
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  7.75 | loss  7.21 | ppl  1352.16
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  7.91 | loss  7.26 | ppl  1427.28
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  8.11 | loss  7.31 | ppl  1499.29
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 125.07s | valid loss  6.66 | valid ppl   780.71
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  7.83 | loss  7.45 | ppl  1711.72
