Vocabulary Size:  27710
Total number of model parameters: 11.76M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  6.36 | loss  9.21 | ppl 10036.89
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  4.69 | loss  8.47 | ppl  4766.13
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  4.69 | loss  8.55 | ppl  5158.89
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  4.65 | loss  8.28 | ppl  3950.15
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  4.63 | loss  8.09 | ppl  3247.13
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  4.67 | loss  8.17 | ppl  3526.82
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  4.68 | loss  8.04 | ppl  3108.56
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  4.70 | loss  7.78 | ppl  2397.79
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  8.02 | ppl  3054.08
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  4.67 | loss  7.82 | ppl  2483.92
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  4.66 | loss  7.51 | ppl  1828.72
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  4.66 | loss  7.46 | ppl  1740.95
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  4.65 | loss  7.37 | ppl  1587.28
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  4.68 | loss  7.43 | ppl  1691.24
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  4.74 | loss  7.37 | ppl  1594.94
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  4.69 | loss  7.45 | ppl  1724.93
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  4.67 | loss  7.35 | ppl  1559.71
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.31 | ppl  1488.75
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.34 | ppl  1534.65
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  4.67 | loss  7.34 | ppl  1546.74
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.31 | ppl  1493.74
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.34 | ppl  1538.87
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  4.73 | loss  7.34 | ppl  1537.16
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  4.67 | loss  7.23 | ppl  1376.12
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  4.70 | loss  7.31 | ppl  1501.62
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  4.67 | loss  7.35 | ppl  1558.18
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  4.72 | loss  7.30 | ppl  1474.37
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  4.64 | loss  7.30 | ppl  1481.72
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  4.75 | loss  7.31 | ppl  1495.16
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  4.71 | loss  7.30 | ppl  1476.15
