Vocabulary Size:  27710
Total number of model parameters: 8.61M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  3.12 | loss 13.89 | ppl 1078432.31
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.23 | ppl 1511836.32
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.24 | ppl 1526143.61
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  2.62 | loss 14.59 | ppl 2161350.30
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  2.64 | loss 13.91 | ppl 1102889.55
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.16 | ppl 1417865.07
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.15 | ppl 1399362.65
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.15 | ppl 1392178.98
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.21 | ppl 1487127.70
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.25 | ppl 1542889.82
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.36 | ppl 1718686.02
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  2.64 | loss 14.30 | ppl 1623788.16
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.32 | ppl 1653954.81
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  2.64 | loss 14.22 | ppl 1494572.52
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  2.65 | loss 14.59 | ppl 2161778.10
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  2.65 | loss 14.36 | ppl 1716684.05
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  2.66 | loss 14.14 | ppl 1389305.62
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.41 | ppl 1803539.86
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.40 | ppl 1786832.62
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.14 | ppl 1382169.07
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  2.66 | loss 14.33 | ppl 1674086.38
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.14 | ppl 1389465.28
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.02 | ppl 1221889.55
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  2.64 | loss 14.11 | ppl 1343200.01
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.35 | ppl 1712474.86
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  2.63 | loss 14.04 | ppl 1255891.72
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  2.62 | loss 14.21 | ppl 1481902.37
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  2.65 | loss 14.05 | ppl 1259316.55
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  2.62 | loss 14.11 | ppl 1345999.57
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  2.64 | loss 14.09 | ppl 1311820.08
