Vocabulary Size:  27710
Total number of model parameters: 24.76M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  7.37 | loss  6.85 | ppl   948.16
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  6.36 | loss  6.02 | ppl   411.67
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  6.36 | loss  5.78 | ppl   323.74
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  6.36 | loss  5.56 | ppl   261.11
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  6.42 | loss  5.44 | ppl   229.70
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  6.32 | loss  5.43 | ppl   227.42
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.39 | ppl   218.83
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.36 | ppl   212.21
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.31 | ppl   203.26
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.29 | ppl   198.10
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.23 | ppl   187.10
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.23 | ppl   186.56
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.17 | ppl   175.37
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.17 | ppl   176.38
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  6.29 | loss  5.12 | ppl   166.91
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  6.29 | loss  5.18 | ppl   178.13
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.10 | ppl   164.81
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  6.31 | loss  5.05 | ppl   155.25
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.05 | ppl   155.58
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.02 | ppl   151.53
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  6.27 | loss  5.06 | ppl   157.91
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.06 | ppl   157.63
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.02 | ppl   151.50
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  6.28 | loss  5.01 | ppl   149.60
