Vocabulary Size:  27710
Total number of model parameters: 16.93M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  4.36 | loss   nan | ppl      nan
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  3.49 | loss   nan | ppl      nan
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  3.44 | loss   nan | ppl      nan
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  3.34 | loss   nan | ppl      nan
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  3.34 | loss   nan | ppl      nan
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  3.44 | loss   nan | ppl      nan
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  3.34 | loss   nan | ppl      nan
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  3.34 | loss   nan | ppl      nan
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  3.34 | loss   nan | ppl      nan
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  3.36 | loss   nan | ppl      nan
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  3.32 | loss   nan | ppl      nan
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  3.33 | loss   nan | ppl      nan
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  3.35 | loss   nan | ppl      nan
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  3.35 | loss   nan | ppl      nan
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  3.37 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 54.24s | valid loss   nan | valid ppl      nan
