Vocabulary Size:  27710
Total number of model parameters: 12.56M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  5.97 | loss  9.47 | ppl 13019.37
| epoch   1 |  1000/15983 batches | lr 20.00 | ms/batch  5.46 | loss  6.74 | ppl   849.69
| epoch   1 |  1500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  6.16 | ppl   473.14
| epoch   1 |  2000/15983 batches | lr 20.00 | ms/batch  5.44 | loss  5.86 | ppl   351.13
| epoch   1 |  2500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.71 | ppl   302.77
| epoch   1 |  3000/15983 batches | lr 20.00 | ms/batch  5.47 | loss  5.70 | ppl   299.90
| epoch   1 |  3500/15983 batches | lr 20.00 | ms/batch  5.47 | loss  5.66 | ppl   288.19
| epoch   1 |  4000/15983 batches | lr 20.00 | ms/batch  5.44 | loss  5.64 | ppl   281.36
| epoch   1 |  4500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.61 | ppl   273.88
| epoch   1 |  5000/15983 batches | lr 20.00 | ms/batch  5.44 | loss  5.58 | ppl   264.73
| epoch   1 |  5500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.52 | ppl   250.80
| epoch   1 |  6000/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.53 | ppl   251.16
| epoch   1 |  6500/15983 batches | lr 20.00 | ms/batch  5.46 | loss  5.47 | ppl   237.83
| epoch   1 |  7000/15983 batches | lr 20.00 | ms/batch  5.48 | loss  5.48 | ppl   239.31
| epoch   1 |  7500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.44 | ppl   230.34
| epoch   1 |  8000/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.50 | ppl   244.54
| epoch   1 |  8500/15983 batches | lr 20.00 | ms/batch  5.43 | loss  5.42 | ppl   225.98
| epoch   1 |  9000/15983 batches | lr 20.00 | ms/batch  5.49 | loss  5.37 | ppl   215.58
| epoch   1 |  9500/15983 batches | lr 20.00 | ms/batch  5.55 | loss  5.37 | ppl   215.94
| epoch   1 | 10000/15983 batches | lr 20.00 | ms/batch  5.58 | loss  5.36 | ppl   212.89
| epoch   1 | 10500/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.39 | ppl   220.17
| epoch   1 | 11000/15983 batches | lr 20.00 | ms/batch  5.44 | loss  5.39 | ppl   218.81
| epoch   1 | 11500/15983 batches | lr 20.00 | ms/batch  5.47 | loss  5.36 | ppl   213.41
| epoch   1 | 12000/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.35 | ppl   209.58
| epoch   1 | 12500/15983 batches | lr 20.00 | ms/batch  5.59 | loss  5.30 | ppl   199.59
| epoch   1 | 13000/15983 batches | lr 20.00 | ms/batch  5.53 | loss  5.32 | ppl   205.05
| epoch   1 | 13500/15983 batches | lr 20.00 | ms/batch  5.48 | loss  5.35 | ppl   210.20
| epoch   1 | 14000/15983 batches | lr 20.00 | ms/batch  5.45 | loss  5.36 | ppl   212.66
| epoch   1 | 14500/15983 batches | lr 20.00 | ms/batch  5.63 | loss  5.29 | ppl   197.41
| epoch   1 | 15000/15983 batches | lr 20.00 | ms/batch  5.55 | loss  5.27 | ppl   194.50
| epoch   1 | 15500/15983 batches | lr 20.00 | ms/batch  5.47 | loss  5.28 | ppl   196.32
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 88.39s | valid loss  5.42 | valid ppl   225.18
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 20.00 | ms/batch  5.48 | loss  5.32 | ppl   205.28
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  5.43 | loss  6.11 | ppl   451.05
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  5.43 | loss  9.21 | ppl  9952.49
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  5.45 | loss 10.75 | ppl 46544.12
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  5.47 | loss 10.66 | ppl 42690.87
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  5.44 | loss 10.85 | ppl 51496.84
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  5.43 | loss 10.75 | ppl 46619.50
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  5.44 | loss 10.73 | ppl 45783.39
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  5.44 | loss 10.55 | ppl 38120.49
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  5.46 | loss 10.53 | ppl 37251.99
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  5.42 | loss 10.67 | ppl 43178.61
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  5.43 | loss 10.54 | ppl 37970.32
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  5.47 | loss 10.59 | ppl 39845.06
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  5.45 | loss 10.76 | ppl 47241.56
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  5.43 | loss 10.63 | ppl 41324.12
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  5.43 | loss 10.84 | ppl 51259.38
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  5.49 | loss 10.63 | ppl 41288.86
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  5.44 | loss 10.61 | ppl 40371.62
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  5.43 | loss 10.60 | ppl 39972.09
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  5.43 | loss 10.52 | ppl 37054.09
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  5.44 | loss 10.61 | ppl 40668.12
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  5.45 | loss 10.63 | ppl 41291.26
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  5.47 | loss 10.72 | ppl 45240.29
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  5.48 | loss 10.72 | ppl 45086.75
